Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,BuergerPortal.Business/BuergerPortal.Business.csproj,File,BuergerPortal.Business/BuergerPortal.Business.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,BuergerPortal.Business/BuergerPortal.Business.csproj,File,BuergerPortal.Business/BuergerPortal.Business.csproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.6.2 Recommended target framework: net8.0"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,BuergerPortal.Data/BuergerPortal.Data.csproj,File,BuergerPortal.Data/BuergerPortal.Data.csproj,,,EntityFramework 6.4.4,,,,,"EntityFramework, 6.4.4  Recommendation:  Remove EntityFramework, and replace with new package EntityFramework 6.5.1"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,BuergerPortal.Data/BuergerPortal.Data.csproj,File,BuergerPortal.Data/BuergerPortal.Data.csproj,,,EntityFramework 6.4.4,,,,,"EntityFramework, 6.4.4  Recommendation:  Should be replaced. Remove EntityFramework, and replace with new package EntityFramework, 6.5.1"
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,BuergerPortal.Data/BuergerPortal.Data.csproj,File,BuergerPortal.Data/BuergerPortal.Data.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,BuergerPortal.Data/BuergerPortal.Data.csproj,File,BuergerPortal.Data/BuergerPortal.Data.csproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.6.2 Recommended target framework: net8.0"
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,BuergerPortal.Domain/BuergerPortal.Domain.csproj,File,BuergerPortal.Domain/BuergerPortal.Domain.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,BuergerPortal.Domain/BuergerPortal.Domain.csproj,File,BuergerPortal.Domain/BuergerPortal.Domain.csproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.6.2 Recommended target framework: net8.0"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,BuergerPortal.Tests/BuergerPortal.Tests.csproj,File,BuergerPortal.Tests/BuergerPortal.Tests.csproj,,,Castle.Core 3.3.3,,,,,"Castle.Core, 3.3.3  Recommendation:  Castle.Core, 5.2.1"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,BuergerPortal.Tests/BuergerPortal.Tests.csproj,File,BuergerPortal.Tests/BuergerPortal.Tests.csproj,,,Moq 4.2.1510.2205,,,,,"Moq, 4.2.1510.2205  Recommendation:  Moq, 4.20.72"
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,BuergerPortal.Tests/BuergerPortal.Tests.csproj,File,BuergerPortal.Tests/BuergerPortal.Tests.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,BuergerPortal.Tests/BuergerPortal.Tests.csproj,File,BuergerPortal.Tests/BuergerPortal.Tests.csproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.6.2 Recommended target framework: net8.0"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,BuergerPortal.Web/BuergerPortal.Web.csproj,File,BuergerPortal.Web/BuergerPortal.Web.csproj,,,Antlr 3.4.1.9004,,,,,"Antlr, 3.4.1.9004  Recommendation:  Remove Antlr, and replace with new package Antlr4 4.6.6"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,BuergerPortal.Web/BuergerPortal.Web.csproj,File,BuergerPortal.Web/BuergerPortal.Web.csproj,,,EntityFramework 6.4.4,,,,,"EntityFramework, 6.4.4  Recommendation:  Remove EntityFramework, and replace with new package EntityFramework 6.5.1"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,BuergerPortal.Web/BuergerPortal.Web.csproj,File,BuergerPortal.Web/BuergerPortal.Web.csproj,,,Microsoft.AspNet.Mvc 4.0.40804.0,,,,,"Microsoft.AspNet.Mvc, 4.0.40804.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,BuergerPortal.Web/BuergerPortal.Web.csproj,File,BuergerPortal.Web/BuergerPortal.Web.csproj,,,Microsoft.AspNet.Razor 2.0.30506.0,,,,,"Microsoft.AspNet.Razor, 2.0.30506.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,BuergerPortal.Web/BuergerPortal.Web.csproj,File,BuergerPortal.Web/BuergerPortal.Web.csproj,,,Microsoft.AspNet.Web.Optimization 1.1.3,,,,,"Microsoft.AspNet.Web.Optimization, 1.1.3  Recommendation:  No supported version found"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,BuergerPortal.Web/BuergerPortal.Web.csproj,File,BuergerPortal.Web/BuergerPortal.Web.csproj,,,Microsoft.AspNet.WebPages 2.0.30506.0,,,,,"Microsoft.AspNet.WebPages, 2.0.30506.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,BuergerPortal.Web/BuergerPortal.Web.csproj,File,BuergerPortal.Web/BuergerPortal.Web.csproj,,,Microsoft.Web.Infrastructure 1.0.0.0,,,,,"Microsoft.Web.Infrastructure, 1.0.0.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,BuergerPortal.Web/BuergerPortal.Web.csproj,File,BuergerPortal.Web/BuergerPortal.Web.csproj,,,Newtonsoft.Json 5.0.4,,,,,"Newtonsoft.Json, 5.0.4  Recommendation:  Remove Newtonsoft.Json, and replace with new package Newtonsoft.Json 13.0.4"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,BuergerPortal.Web/BuergerPortal.Web.csproj,File,BuergerPortal.Web/BuergerPortal.Web.csproj,,,EntityFramework 6.4.4,,,,,"EntityFramework, 6.4.4  Recommendation:  Should be replaced. Remove EntityFramework, and replace with new package EntityFramework, 6.5.1"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,BuergerPortal.Web/BuergerPortal.Web.csproj,File,BuergerPortal.Web/BuergerPortal.Web.csproj,,,Microsoft.AspNet.Web.Optimization 1.1.3,,,,,"Microsoft.AspNet.Web.Optimization, 1.1.3  Recommendation:  Should be replaced. Remove Microsoft.AspNet.Web.Optimization, and replace with new package LigerShark.WebOptimizer.Core, 3.0.477"
NuGet.0004,NuGet package contains security vulnerability,Active,Optional,1,BuergerPortal.Web/BuergerPortal.Web.csproj,File,BuergerPortal.Web/BuergerPortal.Web.csproj,,,Newtonsoft.Json 5.0.4,,,,,"Newtonsoft.Json, 5.0.4  Recommendation:  Newtonsoft.Json, 13.0.4"
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,BuergerPortal.Web/BuergerPortal.Web.csproj,File,BuergerPortal.Web/BuergerPortal.Web.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,BuergerPortal.Web/BuergerPortal.Web.csproj,File,BuergerPortal.Web/BuergerPortal.Web.csproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.6.2 Recommended target framework: net8.0"
